start_time,end_time,sleep_stage,duration
1771599720,1771600560,2,840
1771600560,1771601580,0,1020
1771601580,1771601610,2,30
1771601610,1771601640,0,30
1771601640,1771602840,2,1200
1771602840,1771602900,3,60
1771602900,1771603590,2,690
1771603590,1771603620,3,30
1771603620,1771603770,2,150
1771603770,1771603890,3,120
1771603890,1771603920,2,30
1771603920,1771604670,3,750
1771604670,1771605090,2,420
1771605090,1771605120,0,30
1771605120,1771605540,2,420
1771605540,1771605570,1,30
1771605570,1771605600,2,30
1771605600,1771605660,1,60
1771605660,1771605690,0,30
1771605690,1771605750,2,60
1771605750,1771605780,0,30
1771605780,1771606050,2,270
1771606050,1771606170,0,120
1771606170,1771608180,2,2010
1771608180,1771608720,3,540
1771608720,1771608780,2,60
1771608780,1771608810,3,30
1771608810,1771608990,2,180
1771608990,1771609080,1,90
1771609080,1771609110,0,30
1771609110,1771609320,2,210
1771609320,1771609680,1,360
1771609740,1771610760,2,1020
1771610760,1771610880,0,120
1771610880,1771612140,2,1260
1771612140,1771612170,0,30
1771612170,1771612620,2,450
1771612620,1771612650,0,30
1771612650,1771612680,2,30
1771612680,1771612710,0,30
1771612710,1771613550,2,840
1771613550,1771613580,0,30
1771613580,1771614360,2,780
1771614360,1771614420,1,60
1771615020,1771615500,2,480
1771615500,1771615890,0,390
1771615890,1771617000,2,1110
1771617000,1771617030,0,30
1771617030,1771617570,2,540
1771617570,1771617600,3,30
1771617600,1771617630,2,30
1771617630,1771617660,3,30
1771617660,1771617690,2,30
1771617690,1771617900,3,210
1771617900,1771617930,2,30
1771617930,1771617960,3,30
1771617960,1771618380,2,420
1771618380,1771618440,3,60
1771618440,1771618500,2,60
1771618500,1771618590,3,90
1771618590,1771618650,2,60
1771618650,1771618680,3,30
1771618680,1771618770,2,90
1771618770,1771618920,3,150
1771618920,1771618980,2,60
1771618980,1771619130,3,150
1771619130,1771619220,2,90
1771619220,1771619250,3,30
1771619250,1771619340,2,90
1771619340,1771619370,3,30
1771619370,1771619460,2,90
1771619460,1771619520,0,60
1771619520,1771620600,2,1080
1771620600,1771620660,0,60
1771620660,1771621530,2,870
1771621530,1771621800,1,270
1771621800,1771621830,0,30
1771621830,1771622250,1,420
1771622250,1771622340,0,90
1771622340,1771622370,1,30
1771622370,1771622400,0,30
1771622400,1771622430,1,30
1771622430,1771622460,2,30
1771622460,1771622490,1,30
1771622490,1771622520,0,30
1771622520,1771622700,2,180
1771622700,1771622730,0,30
1771622730,1771623000,2,270
1771623000,1771623060,1,60
1771623060,1771623150,0,90
1771623150,1771623210,2,60
1771623210,1771623240,1,30
1771623240,1771623270,2,30
1771623270,1771623300,1,30
1771623300,1771623360,0,60
1771623360,1771623450,2,90
1771623450,1771623480,0,30
1771623480,1771623750,2,270
1771623750,1771623840,0,90
1771623840,1771623930,2,90
1771623930,1771623960,0,30
1771623960,1771625010,2,1050
1771625010,1771625070,3,60
1771625070,1771625160,2,90
1771625160,1771625190,3,30
1771625190,1771625640,2,450
1771625640,1771625670,3,30
1771625670,1771625970,2,300
1771625970,1771626210,3,240
1771626210,1771626480,2,270
1771626480,1771626750,1,270
1771626750,1771626810,0,60
1771626810,1771626870,1,60
1771626870,1771626900,2,30
1771626900,1771627290,1,390
1771627290,1771627470,0,180
1771627470,1771627680,2,210
1771627680,1771627710,1,30
1771627710,1771628190,2,480
1771628190,1771628250,0,60
1771628250,1771628730,2,480
1771628730,1771628850,0,120
1771628850,1771630500,2,1650
1771630500,1771631220,1,720
1771631220,1771631250,0,30
1771631250,1771631550,1,300
1771631550,1771631610,0,60
1771631610,1771631640,2,30
1771631640,1771631670,1,30
1771631670,1771631820,2,150
1771631820,1771631850,1,30
1771631850,1771632180,2,330
1771632180,1771632270,0,90
1771632270,1771632990,2,720
1771632990,1771633110,0,120
1771633110,1771633140,2,30
1771633140,1771633170,0,30
1771633170,1771633350,2,180
1771633350,1771633410,0,60
